//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	50	6277	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Small Wings of Heaven
1010	1010	50	6278	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Small Wings of Satan
1020	1020	50	6275	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Small Wing of Curse
1030	1030	50	6276	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Small Wings of Elf
1040	1040	50	6274	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Small Cape of Lord
1050	1050	50	6279	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Little Warrior's Cloak
1060	1060	50	7179	8	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Box of Kundun + 1
1070	1070	100	7179	9	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Box of Kundun + 2
1080	1080	150	7179	10	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Box of Kundun + 3
1090	1090	200	7179	11	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Box of Kundun + 4
1100	1100	250	7179	12	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Box of Kundun + 5
1110	1110	25	6163	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Orb of Death Stab
1120	1120	25	6158	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Orb of Swell Life
1130	1130	25	6166	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Scroll of Summon
1140	1140	25	6165	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Scroll of Fire Burst
1150	1150	25	7711	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Dark Side Parchment
1160	1160	25	7710	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Chain Drive Parchment
1170	1170	25	7709	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Scroll of Gigantic Storm
1180	1180	25	7699	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Chain Lightning Parchment
1190	1190	25	7688	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Scroll of Evil Spirit
1200	1200	25	7695	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Scroll of Soul Barrier
1210	1210	25	7701	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Lightning Shock Parchment
1220	1220	25	6160	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Orb of Fire Slash
1230	1230	25	6162	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Orb of Ice Arrow
1240	1240	25	6189	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Crystal of Multi-Shot
1250	1250	1	6658	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Horn of Uniria
1260	1260	1	6656	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Guardian Angel
1270	1270	1	6657	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Imp
1280	1280	40	6688	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// 20 x Splinter of Armor
1290	1290	40	6689	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// 20 x Bless of Guardian
1300	1300	20	6690	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// 10 x Claw of Beast
1310	1310	100	6687	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	// Dark Raven Spirit (1 EA)
end
