//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ProductID	ProductNumber	ItemGroup	ItemIndex	Price	Durability	UseTime	80	Level	Skill	Luck	Option	ExOpt	AncOp	Comment
1000	1000	12	133	50	255	0	80	0	0	0	0	0	0	// Small Wings of Heaven
1010	1010	12	134	50	255	0	80	0	0	0	0	0	0	// Small Wings of Satan
1020	1020	12	131	50	255	0	80	0	0	0	0	0	0	// Small Wing of Curse
1030	1030	12	132	50	255	0	80	0	0	0	0	0	0	// Small Wings of Elf
1040	1040	12	130	50	255	0	80	0	0	0	0	0	0	// Small Cape of Lord
1050	1050	12	135	50	255	0	80	0	0	0	0	0	0	// Little Warrior's Cloak
1060	1060	14	11	50	255	0	80	8	0	0	0	0	0	// Box of Kundun + 1
1070	1070	14	11	100	255	0	80	9	0	0	0	0	0	// Box of Kundun + 2
1080	1080	14	11	150	255	0	80	10	0	0	0	0	0	// Box of Kundun + 3
1090	1090	14	11	200	255	0	80	11	0	0	0	0	0	// Box of Kundun + 4
1100	1100	14	11	250	255	0	80	12	0	0	0	0	0	// Box of Kundun + 5
1110	1110	12	19	25	255	0	80	0	0	0	0	0	0	// Orb of Death Stab
1120	1120	12	14	25	255	0	80	0	0	0	0	0	0	// Orb of Swell Life
1130	1130	12	22	25	255	0	80	0	0	0	0	0	0	// Scroll of Summon
1140	1140	12	21	25	255	0	80	0	0	0	0	0	0	// Scroll of Fire Burst
1150	1150	15	31	25	255	0	80	0	0	0	0	0	0	// Dark Side Parchment
1160	1160	15	30	25	255	0	80	0	0	0	0	0	0	// Chain Drive Parchment
1170	1170	15	29	25	255	0	80	0	0	0	0	0	0	// Scroll of Gigantic Storm
1180	1180	15	19	25	255	0	80	0	0	0	0	0	0	// Chain Lightning Parchment
1190	1190	15	8	25	255	0	80	0	0	0	0	0	0	// Scroll of Evil Spirit
1200	1200	15	15	25	255	0	80	0	0	0	0	0	0	// Scroll of Soul Barrier
1210	1210	15	21	25	255	0	80	0	0	0	0	0	0	// Lightning Shock Parchment
1220	1220	12	16	25	255	0	80	0	0	0	0	0	0	// Orb of Fire Slash
1230	1230	12	18	25	255	0	80	0	0	0	0	0	0	// Orb of Ice Arrow
1240	1240	12	45	25	255	0	80	0	0	0	0	0	0	// Crystal of Multi-Shot
1250	1250	13	2	1	255	0	80	0	0	0	0	0	0	// Horn of Uniria
1260	1260	13	0	1	255	0	80	0	0	0	0	0	0	// Guardian Angel
1270	1270	13	1	1	255	0	80	0	0	0	0	0	0	// Imp
1280	1280	13	32	40	255	0	80	0	0	0	0	0	0	// 20 x Splinter of Armor
1290	1290	13	33	40	255	0	80	0	0	0	0	0	0	// 20 x Bless of Guardian
1300	1300	13	34	20	255	0	80	0	0	0	0	0	0	// 10 x Claw of Beast
1310	1310	13	31	100	255	0	80	0	0	0	0	0	0	// Dark Raven Spirit (1 EA)
