1
373	528	508	0	0	0	50	894	1095	58	0	1	0	//Box of Kundun + 1
374	529	508	0	0	0	100	895	1097	58	0	1	0	//Box of Kundun + 2
375	530	508	0	0	0	150	896	1099	58	0	1	0	//Box of Kundun + 3
376	531	508	0	0	0	200	897	1101	58	0	1	0	//Box of Kundun + 4
377	532	508	0	0	0	250	898	1103	58	0	1	0	//Box of Kundun + 5
378	533	508	0	0	0	50	899	1105	59	0	1	0	//Wings of Heaven
379	534	508	0	0	0	50	900	1107	59	0	1	0	//Small Wings of Satan
380	535	508	0	0	0	50	901	1109	59	0	1	0	//Small Wings of Elf
381	536	508	0	0	0	50	902	1111	59	0	1	0	//Small Wings of Curse
382	537	508	0	0	0	50	903	1113	59	0	1	0	//Small Cape of Lords
383	538	508	0	0	0	50	904	1115	59	0	1	0	//Little Warriors Cloak
end
